Nome,Data de Nascimento,Genero,Grupo,Nacionalidade,Gols,Assistências,Altura
N'Golo Kanté,29/03/1991,Masculino,Volantes,Francesa,4,6,"1,68"
Casemiro,23/02/1992,Masculino,Volantes,Brasileira,5,3,"1,85"
Joshua Kimmich,08/02/1995,Masculino,Volantes, Alemã,2,9,"1,76"
Sergio Busquets,16/07/1988,Masculino,Volantes, Espanhola,1,5,"1,89"
Marco Verratti,05/11/1992,Masculino,Volantes, Italiana,0,7,"1,65"
Declan Rice,14/01/1999,Masculino,Volantes, Inglesa,7,9,"1,85"
Adrien Rabiot,23/04/1995,Masculino,Volantes,Francesa,5,3,"1,89"
Yves Bissouma,30/08/1996,Masculino,Volantes,Malinesa,0,0,"1,8"
Gini Wijnaldum,11/11/1990,Masculino,Volantes,Holandesa,7,6,"1,75"
Aurelien Tchouameni,27/1/2000,Masculino,Volantes,Francesa,3,1,"1,87"
