Nome,Data de Nascimento,Genero,Grupo,Nacionalidade,Gols,Assistências
Kevin De Bruyne,28/06/1991,Masculino,Meio-Campistas,Belga,10,12
Luka Modrić,09/09/1985,Masculino,Meio-Campistas,Croata,3,4
Frenkie de Jong,12/05/1997,Masculino,Meio-Campistas,Holandesa,2,3
Paul Pogba,15/03/1993,Masculino,Meio-Campistas, Francesa,1,2
Christian Pulisic,18/09/1998,Masculino,Meio-Campistas,Americana,8,7
Bruno Fernandes,08/09/1994,Masculino,Meio-Campistas, Portuguesa,5,8
Jorginho,20/12/1991,Masculino,Meio-Campistas,Italiana,1,2
Miralem Pjanić,02/04/1990,Masculino,Meio-Campistas, Bósnia,0,11
Thomas Müller,13/09/1989,Masculino,Meio-Campistas,Alemã,5,8
César Azpilicueta,28/08/1989,Masculino,Meio-Campistas,Espanhola,0,2
Lia Walti,01/03/1993,Feminino,Meio-Campistas, Suíça,1,3
Danielle van de Donk,05/08/1991,Feminino,Meio-Campistas,Holandesa,4,6
Kim Little,29/06/1990,Feminino,Meio-Campistas, Escocesa,2,3
Jill Scott,02/07/1986,Feminino,Meio-Campistas,Inglesa,0,0
Laura Geitz,09/01/1992,Feminino,Meio-Campistas,Australiana,0,0
Amandine Henry,28/09/1989,Feminino,Meio-Campistas,Francesa,4,4
Megan Rapinoe,05/07/1985,Feminino,Meio-Campistas, Americana,5,5
Julie Ertz,06/04/1992,Feminino,Meio-Campistas,Americana,1,0
Marta,19/02/1986,Feminino,Meio-Campistas,Brasileira,5,1
Sarah Zadrazil,19/02/1993,Feminino,Meio-Campistas,Austriaca,0,1
